kdcode,dt,close,open,high,low,turnover,volume,OT
000001.SZ,2021-01-04,17.69241817,18.16802081,18.16802081,17.54022533,2891682312.0,155421643,-0.0382626682709187
000001.SZ,2021-01-05,17.2833999,17.50217712,17.57827354,16.93145395,3284606914.0,182135210,-0.0231182795969376
000001.SZ,2021-01-06,18.60557524,17.19779143,18.60557524,17.12169501,3648521909.0,193494512,0.0764997250338459
000001.SZ,2021-01-07,18.92898504,18.56752703,19.00508146,18.2916775,3111274625.0,158418530,0.0173824133803024
000001.SZ,2021-01-08,18.88142477,18.92898504,19.11922609,18.36777392,2348316363.0,119547322,-0.0025125631352922
000001.SZ,2021-01-11,19.38556357,19.02410556,19.63287694,19.02410556,3652546647.0,179045714,0.026700252027644
000001.SZ,2021-01-12,19.97531084,19.39507562,19.97531084,19.19532251,2657687441.0,128816550,0.0304219822070408
000001.SZ,2021-01-13,19.68994926,19.97531084,19.98482289,19.40458767,2161849708.0,104911973,-0.0142857141140738
000001.SZ,2021-01-14,19.18581046,19.67092515,19.87067826,18.9765453,2306404547.0,113015562,-0.0256038648623718
000001.SZ,2021-01-15,19.97531084,19.97531084,20.87895586,19.80409389,5311218075.0,248068898,0.0411502230591722
000001.SZ,2021-01-18,21.59235981,20.1655519,21.66845624,20.1655519,4792909448.0,215730178,0.0809523808141152
000001.SZ,2021-01-19,21.24992591,21.41163081,21.72552855,20.97407638,2790056611.0,124208834,-0.01585903083374
000001.SZ,2021-01-20,21.3735826,21.06919691,21.84918524,21.04066075,2889249850.0,128079316,0.0058191586419511
000001.SZ,2021-01-21,21.14529333,21.40211876,21.68748034,21.06919691,2114252732.0,94477860,-0.0106809080289608
000001.SZ,2021-01-22,20.95505228,21.14529333,21.14529333,20.46042553,2025834762.0,92443442,-0.0089968508372544
000001.SZ,2021-01-25,21.39260671,20.66017864,21.49723929,20.38432911,2269032821.0,102836527,0.0208806174355198
000001.SZ,2021-01-26,21.27846207,21.2118777,22.18210709,21.2118777,2558575512.0,112672055,-0.0053357050661171
000001.SZ,2021-01-27,21.95381782,21.22138976,22.32478788,21.22138976,2976800956.0,129415272,0.0317389361965294
000001.SZ,2021-01-28,21.69699239,21.66845624,22.04893835,21.35455849,1948881147.0,85747696,-0.0116984404309866
000001.SZ,2021-01-29,21.96332987,21.69699239,22.39137225,21.60187187,2864101419.0,124025841,0.0122753179432719
000001.SZ,2021-02-01,23.35208958,21.8777214,23.7706199,21.59235981,3529556987.0,147523930,0.0632308360444435
