dt,kdcode,close,high,low,open,volume,OT
2021-01-04,AAPL,129.41000366210938,133.61000061035156,126.76000213623048,133.52000427246094,143301900,-0.0247192608255868
2021-01-05,AAPL,131.00999450683594,131.74000549316406,128.42999267578125,128.88999938964844,97664900,0.0123637338648421
2021-01-06,AAPL,126.5999984741211,131.0500030517578,126.37999725341795,127.72000122070312,155088000,-0.0336615236823381
2021-01-07,AAPL,130.9199981689453,131.6300048828125,127.86000061035156,128.36000061035156,109578200,0.0341232207495427
2021-01-08,AAPL,132.0500030517578,132.6300048828125,130.22999572753906,132.42999267578125,105158200,0.0086312625925513
2021-01-11,AAPL,128.97999572753906,130.1699981689453,128.5,129.19000244140625,100384500,-0.0232488243337294
2021-01-12,AAPL,128.8000030517578,129.69000244140625,126.86000061035156,128.5,91951100,-0.0013955084644402
2021-01-13,AAPL,130.88999938964844,131.4499969482422,128.49000549316406,128.75999450683594,88636800,0.0162266792575367
2021-01-14,AAPL,128.91000366210938,131.0,128.75999450683594,130.8000030517578,90221800,-0.0151271734798071
2021-01-15,AAPL,127.13999938964844,130.22000122070312,127.0,128.77999877929688,111598500,-0.0137305424108151
2021-01-19,AAPL,127.83000183105467,128.7100067138672,126.94000244140624,127.77999877929688,90757300,0.0054271074777307
2021-01-20,AAPL,132.02999877929688,132.49000549316406,128.5500030517578,128.66000366210938,104319500,0.0328561127128284
2021-01-21,AAPL,136.8699951171875,139.6699981689453,133.58999633789062,133.8000030517578,120150900,0.0366583078288231
2021-01-22,AAPL,139.07000732421875,139.85000610351562,135.02000427246094,136.27999877929688,114459400,0.016073736286376
2021-01-25,AAPL,142.9199981689453,145.08999633789062,136.5399932861328,143.07000732421875,157611700,0.0276838329040347
2021-01-26,AAPL,143.16000366210938,144.3000030517578,141.3699951171875,143.60000610351562,98390600,0.0016792995818566
2021-01-27,AAPL,142.05999755859375,144.3000030517578,140.41000366210938,143.42999267578125,140843800,-0.0076837529713389
2021-01-28,AAPL,137.08999633789062,141.99000549316406,136.6999969482422,139.52000427246094,142621100,-0.0349852267078436
2021-01-29,AAPL,131.9600067138672,136.74000549316406,130.2100067138672,135.8300018310547,177523800,-0.0374205978631684
2021-02-01,AAPL,134.13999938964844,135.3800048828125,130.92999267578125,133.75,106239800,0.0165201012796869
2021-02-02,AAPL,134.99000549316406,136.30999755859375,134.61000061035156,135.72999572753906,83305400,0.0063367087176327
2021-02-03,AAPL,133.94000244140625,135.77000427246094,133.61000061035156,135.75999450683594,89880900,-0.0077783762429062
2021-02-04,AAPL,137.38999938964844,137.39999389648438,134.58999633789062,136.3000030517578,84183100,0.025757778746879
2021-02-05,AAPL,136.75999450683594,137.4199981689453,135.86000061035156,137.35000610351562,75693800,-0.0045855221312415
2021-02-08,AAPL,136.91000366210938,136.9600067138672,134.9199981689453,136.02999877929688,71297200,0.0010968789214593
2021-02-09,AAPL,136.00999450683594,137.8800048828125,135.85000610351562,136.6199951171875,76774200,-0.0065737282243789
2021-02-10,AAPL,135.38999938964844,136.99000549316406,134.39999389648438,136.47999572753906,73046600,-0.0045584526301583
2021-02-11,AAPL,135.1300048828125,136.38999938964844,133.77000427246094,135.89999389648438,64280000,-0.0019203376025409
2021-02-12,AAPL,135.3699951171875,135.52999877929688,133.69000244140625,134.35000610351562,60145100,0.0017759951580194
2021-02-16,AAPL,133.19000244140625,136.00999450683594,132.7899932861328,135.49000549316406,80576300,-0.0161039577041727
2021-02-17,AAPL,130.83999633789062,132.22000122070312,129.47000122070312,131.25,97918500,-0.0176440127670202
2021-02-18,AAPL,129.7100067138672,130.0,127.41000366210938,129.1999969482422,96856700,-0.0086364235375341
2021-02-19,AAPL,129.8699951171875,130.7100067138672,128.8000030517578,130.24000549316406,87668800,0.0012334314627955
2021-02-22,AAPL,126.0,129.72000122070312,125.5999984741211,128.00999450683594,103916400,-0.0297989933217094
2021-02-23,AAPL,125.86000061035156,126.70999908447266,118.38999938964844,123.76000213623048,158273000,-0.0011111062670511
2021-02-24,AAPL,125.3499984741211,125.55999755859376,122.2300033569336,124.94000244140624,111039900,-0.0040521383581537
2021-02-25,AAPL,120.98999786376952,126.45999908447266,120.54000091552734,124.68000030517578,148199500,-0.034782613988238
2021-02-26,AAPL,121.26000213623048,124.8499984741211,121.1999969482422,122.58999633789062,164560400,0.002231624739468
2021-03-01,AAPL,127.79000091552734,127.93000030517578,122.79000091552734,123.75,116307900,0.0538512177491197
2021-03-02,AAPL,125.12000274658205,128.72000122070312,125.01000213623048,128.41000366210938,102260900,-0.0208936391722091
2021-03-03,AAPL,122.05999755859376,125.70999908447266,121.83999633789062,124.80999755859376,112966300,-0.0244565626663708
2021-03-04,AAPL,120.12999725341795,123.5999984741211,118.62000274658205,121.75,178155000,-0.0158118986054324
2021-03-05,AAPL,121.41999816894533,121.94000244140624,117.56999969482422,120.9800033569336,153766600,0.0107383746359877
2021-03-08,AAPL,116.36000061035156,121.0,116.20999908447266,120.93000030517578,154376600,-0.0416735104175608
2021-03-09,AAPL,121.08999633789062,122.05999755859376,118.79000091552734,119.02999877929688,129525800,0.0406496708725376
2021-03-10,AAPL,119.9800033569336,122.16999816894533,119.4499969482422,121.69000244140624,111943300,-0.009166677797724
2021-03-11,AAPL,121.95999908447266,123.20999908447266,121.26000213623048,122.54000091552734,103026500,0.0165027143869023
2021-03-12,AAPL,121.02999877929688,121.16999816894533,119.16000366210938,120.4000015258789,88105100,-0.0076254535270342
2021-03-15,AAPL,123.98999786376952,124.0,120.41999816894533,121.41000366210938,92403800,0.0244567389434609
2021-03-16,AAPL,125.56999969482422,127.22000122070312,124.72000122070312,125.6999969482422,115227900,0.0127429781294994
2021-03-17,AAPL,124.76000213623048,125.86000061035156,122.33999633789062,124.0500030517578,111932600,-0.0064505659039761
2021-03-18,AAPL,120.52999877929688,123.18000030517578,120.31999969482422,122.87999725341795,121229700,-0.0339051241143351
2021-03-19,AAPL,119.98999786376952,121.43000030517578,119.68000030517578,119.9000015258789,185549500,-0.0044802200364754
2021-03-22,AAPL,123.38999938964844,123.87000274658205,120.26000213623048,120.33000183105467,111912300,0.0283357078624095
2021-03-23,AAPL,122.54000091552734,124.23999786376952,122.13999938964844,123.33000183105467,95467100,-0.0068887144689653
2021-03-24,AAPL,120.08999633789062,122.9000015258789,120.06999969482422,122.81999969482422,88530500,-0.0199935087263922
2021-03-25,AAPL,120.58999633789062,121.66000366210938,119.0,119.54000091552734,98844700,0.0041635441356262
2021-03-26,AAPL,121.20999908447266,121.4800033569336,118.91999816894533,120.3499984741211,94071200,0.0051414111071435
2021-03-29,AAPL,121.38999938964844,122.58000183105467,120.7300033569336,121.6500015258789,80819200,0.0014850285169158
2021-03-30,AAPL,119.9000015258789,120.4000015258789,118.86000061035156,120.11000061035156,85671900,-0.0122744696536887
